timestamp, name, pci.bus_id, driver_version, pstate, pcie.link.gen.max, pcie.link.gen.current, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2022/11/19 11:01:51.921, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 100 %, 41 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:01:52.923, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 98 %, 38 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:01:53.926, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 45, 100 %, 41 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:01:54.928, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 45, 100 %, 38 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:01:55.932, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 100 %, 37 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:01:56.934, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 100 %, 39 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:01:57.936, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 45, 98 %, 37 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:01:58.938, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 45, 100 %, 41 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:01:59.943, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 45, 98 %, 41 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:00.944, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 45, 80 %, 44 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:01.946, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 100 %, 38 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:02.948, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 45, 100 %, 38 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:03.950, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 45, 100 %, 39 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:04.955, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 45, 100 %, 41 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:05.958, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 45, 76 %, 39 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:06.960, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 45, 100 %, 38 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:07.963, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 45, 100 %, 38 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:08.965, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 45, 100 %, 40 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:09.968, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 100 %, 42 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:10.970, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 45, 80 %, 37 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:11.972, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 45, 100 %, 41 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:12.975, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 45, 100 %, 38 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:13.977, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 100 %, 41 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:14.981, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 100 %, 42 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:15.982, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 45, 82 %, 30 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:16.984, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 100 %, 41 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:17.986, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 45, 100 %, 38 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:18.988, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 100 %, 41 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:19.991, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 98 %, 40 %, 15360 MiB, 4308 MiB, 10601 MiB
